source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,quality_flags,experiment_frozen_at,duplicate_group_id
mercadolibre,MLM-2309651041,https://terreno.mercadolibre.com.mx/MLM-2309651041-magnifico-terreno-comercial-_JM,20776000.0,MXN,terreno,5936.0,,,,,,,3500.0,,,medium,Morelos,Jiutepec,José López Portillo,,,0508,approximate_coordinate,2157.0,558.0,4947.192618875219,1279.8022630191804,0.3924731182795699,0.5340501792114696,9.2,0.9669117647058824,89,486,30,222,7,61,2,13,2,16,0,1,2,6,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|20776000.0|jiutepec|josé lópez portillo|5936.0|||
mercadolibre,MLM-5468368160,https://terreno.mercadolibre.com.mx/MLM-5468368160-venta-de-terrenos-premium-en-la-zona-dorada-de-cuernavaca-_JM,11200000.0,MXN,terreno,800.0,,,,,,,14000.0,,,medium,Morelos,Cuernavaca,Vista Hermosa,,,0187,approximate_coordinate,630.0,227.0,1278.5954112765228,460.70025136471537,0.7929515418502202,0.9030837004405288,13.55,0.9970501474926252,426,1565,67,519,78,237,126,195,15,47,16,55,16,61,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|11200000.0|cuernavaca|vista hermosa|800.0|||
mercadolibre,MLM-2711592527,https://terreno.mercadolibre.com.mx/MLM-2711592527-terreno-en-venta-lomas-de-cocoyoc-_JM,2600000.0,MXN,terreno,350.0,,,,,,,7428.57,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838792,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|2600000.0|atlatlahucan|lomas de cocoyoc|350.0|||
mercadolibre,MLM-4904229866,https://terreno.mercadolibre.com.mx/MLM-4904229866-terreno-en-alpuyeca-xochitepec-_JM,2145000.0,MXN,terreno,7150.0,,,,,,,300.0,,,medium,Morelos,Xochitepec,Alpuyeca,,,0026,approximate_coordinate,2763.0,700.0,2771.068737817901,702.044197058462,0.2485714285714285,0.3928571428571428,9.48,0.972241029113067,344,565,186,281,57,98,10,14,7,12,2,2,4,8,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|2145000.0|xochitepec|alpuyeca|7150.0|||
mercadolibre,MLM-2605315741,https://terreno.mercadolibre.com.mx/MLM-2605315741-terreno-plano-jiutepec-morelos-_JM,8190000.0,MXN,terreno,2925.0,,,,,,,2800.0,,,medium,Morelos,Jiutepec,Tlahuapan,,,1065,approximate_coordinate,4717.0,1441.0,8162.233260786099,2493.4869893561095,0.5905621096460791,0.7925052047189451,12.08,0.9761336515513126,308,1401,139,592,40,187,8,80,7,34,3,8,10,33,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|8190000.0|jiutepec|tlahuapan|2925.0|||
mercadolibre,MLM-4048570156,https://terreno.mercadolibre.com.mx/MLM-4048570156-terreno-en-venta-en-yautepec-morelos-cerca-de-de-sixflags-_JM,750000.0,MXN,terreno,900.0,,,,,,,833.33,,,medium,Morelos,Yautepec,Oaxtepec Centro,,,0273,approximate_coordinate,45.0,12.0,30.91523293927924,8.244062117141132,0.5833333333333334,0.6666666666666666,11.36,1.0,49,557,13,222,28,184,0,20,4,9,0,2,0,11,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|750000.0|yautepec|oaxtepec centro|900.0|||
mercadolibre,MLM-2714460935,https://terreno.mercadolibre.com.mx/MLM-2714460935-buen-terreno-en-venta-jiutepecmorelos-pedregal-de-las-fuentes-_JM,5000000.0,MXN,terreno,1900.0,,,,,,,2631.58,,,medium,Morelos,Jiutepec,Pedregal De Las Fuentes,,,0230,approximate_coordinate,1506.0,513.0,2126.9645529782256,724.5237819905907,0.7875243664717348,0.9083820662768032,13.56,0.9685610640870616,34,514,10,223,5,70,0,22,4,17,0,1,0,7,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|5000000.0|jiutepec|pedregal de las fuentes|1900.0|||
mercadolibre,MLM-2897440679,https://terreno.mercadolibre.com.mx/MLM-2897440679-oportunidad-se-vende-terreno-500-o-1000-metros-a-un-lado-de-sams-cuautla-_JM,2000000.0,MXN,terreno,1000.0,,,,,,,2000.0,,,medium,Morelos,Cuautla,Lázaro Cárdenas,,,0368,approximate_coordinate,1914.0,476.0,3580.4896156099,890.4456933282719,0.4705882352941176,0.5105042016806722,9.39,0.9818763326226012,293,726,144,318,35,115,8,22,7,11,0,2,3,8,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|2000000.0|cuautla|lázaro cárdenas|1000.0|||
mercadolibre,MLM-4571122436,https://terreno.mercadolibre.com.mx/MLM-4571122436-terreno-plano-en-venta-chiconcuac-xochitepec-mexico-_JM,500000.0,MXN,terreno,500.0,,,,,,,1000.0,,,medium,Morelos,Xochitepec,Chiconcuac,,,037A,approximate_coordinate,3678.0,1047.0,2433.0795911403716,692.6140108548041,0.4106972301814708,0.5845272206303725,9.48,0.9766734279918864,343,586,138,234,75,116,16,27,5,7,0,0,4,10,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|500000.0|xochitepec|chiconcuac|500.0|||
mercadolibre,MLM-5844946628,https://terreno.mercadolibre.com.mx/MLM-5844946628-venta-de-terreno-plano-en-emiliano-zapata-morelosclave-6296-_JM,26000000.0,MXN,terreno,6672.0,,,,,,,3896.88,,,medium,Morelos,Emiliano Zapata,Palo Escrito,,,0377,approximate_coordinate,3279.0,853.0,3440.0527777584334,894.8963157755242,0.2602579132473622,0.4818288393903868,8.28,0.94540059347181,53,560,12,263,7,77,2,12,5,12,0,0,0,4,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|26000000.0|emiliano zapata|palo escrito|6672.0|||
