source,source_id,url,price,currency,property_type,market_segment,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,price_band,latitude,longitude,geocode_latitude,geocode_longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,duplicate_group_id,dedupe_fingerprint,quality_flags
icasas,ee0a-b979-23626059-5d1530ab947-324e,https://www.icasas.mx/propiedad/ee0a-b979-23626059-5d1530ab947-324e,1500000.0,MXN,casa,residential,150.0,100.0,3,2.0,2,,15000.0,,1M-2M,18.82767,-98.95424,,,high,Morelos,Cuautla,emiliano zapata,62744,Calzada santa inés 44-48,0391,exact_coordinate,2372.0,662.0,3300.0465117150984,921.0079219036236,0.48036253776435045,0.6903323262839879,10.9,0.9798605731990705,185,1784,71,876,27,260,5,94,6,40,1,14,9,45,A,icasas|1500000.0|cuautla|emiliano zapata|150.0|100.0|3.0|2.0,772beea16b7004c306bf0ddf196ba47a337b08a8,
icasas,33cb-8482-96ccc302-d22afe11714e-4860,https://www.icasas.mx/propiedad/33cb-8482-96ccc302-d22afe11714e-4860,2800000.0,MXN,casa,residential,232.0,,3,3.0,4,,,,2M-3M,18.8724272,-98.9710333,,,medium,Morelos,Cuautla,Peña Flores,,,0866,approximate_coordinate,4426.0,1165.0,3707.7459312889227,975.9430659628548,0.4034334763948498,0.5141630901287554,9.2,0.9888423988842399,112,257,56,127,11,33,7,8,4,10,0,0,0,0,C,icasas|2800000.0|cuautla|peña flores|232.0||3.0|3.0,5eaf4d02b3d58bd2a87e9107f10c1ad717ab6d0d,missing_construction_area
icasas,fcd0-92ba-1970582-8c4c72646dde-75b4,https://www.icasas.mx/propiedad/fcd0-92ba-1970582-8c4c72646dde-75b4,2970000.0,MXN,casa,residential,90.4,230.0,4,4.0,2,,12913.04,,2M-3M,18.871409,-98.916036,,,medium,Morelos,Cuautla,Unidad habitacional Salvador Esquer,,,0300,approximate_coordinate,1369.0,362.0,3055.7110946541616,808.0112609677184,0.4585635359116022,0.6712707182320442,9.83,0.996937212863706,55,240,21,89,11,52,0,4,3,8,0,1,0,2,B,icasas|2970000.0|cuautla|unidad habitacional salvador esquer|90.4|230.0|4.0|4.0,f64bb9b45054d7c93cf7055c8b2cf42464f98cf3,
icasas,d3f5-8478-196ae7e-e197764ef471-7f6f,https://www.icasas.mx/propiedad/d3f5-8478-196ae7e-e197764ef471-7f6f,3980000.0,MXN,casa,residential,209.0,185.0,4,3.0,3,,21513.51,,3M-5M,18.8483628,-98.9380212,,,medium,Morelos,Cuautla,Fraccionamiento Valle del Sol,,,0739,approximate_coordinate,952.0,295.0,2612.170243929229,809.4435104612633,0.6915254237288135,0.8271186440677966,12.65,0.9808695652173913,256,1016,82,391,59,183,20,60,8,27,8,13,2,14,B,icasas|3980000.0|cuautla|fraccionamiento valle del sol|209.0|185.0|4.0|3.0,7d75baf22632823b5b8746ac5c8023cefa4b720c,
icasas,4b92-95f3-18ff51a-92368d6bcb49-7faa,https://www.icasas.mx/propiedad/4b92-95f3-18ff51a-92368d6bcb49-7faa,6000000.0,MXN,terreno,land,1106.0,152.0,2,,,,39473.68,5424.95,5M-8M,18.863641,-98.94783,,,medium,Morelos,Cuautla,Tierra Larga,,,0014,approximate_coordinate,2050.0,523.0,1887.0063470578307,481.4167412249978,0.3862332695984704,0.37667304015296366,8.75,0.9742574257425742,139,415,68,200,36,70,1,2,2,4,2,3,1,2,B,icasas|6000000.0|cuautla|tierra larga|1106.0|152.0|2.0|,e4691dfc618ba6a4062657e197547c363d2bf090,
icasas,1a66-9fc1-1917371-e6d80237f422-75ff,https://www.icasas.mx/propiedad/1a66-9fc1-1917371-e6d80237f422-75ff,858500.0,MXN,casa,residential,166.0,,3,2.0,,,,,<1M,18.820619,-98.952373,,,high,Morelos,Cuautla,emiliano zapata,62744,Avenida insurgentes 137,0531,exact_coordinate,2481.0,787.0,3180.65310721542,1008.9375233287124,0.41296060991105465,0.6416772554002541,11.8,0.9889135254988913,1511,3935,818,2121,179,517,72,188,32,83,18,61,38,98,C,icasas|858500.0|cuautla|emiliano zapata|166.0||3.0|2.0,d2049a5ed5432b8dca862ecfdc77b4adedf7d0c6,missing_construction_area
mercadolibre,MLM-2880697277,https://casa.mercadolibre.com.mx/MLM-2880697277-casa-en-venta-cumbres-del-campestre-2-recamaras-_JM,1000000.0,MXN,casa,residential,180.0,51.0,2,2.0,1,,19607.84,,1M-2M,,,18.8142896,-99.2613318,medium,Morelos,Xochitepec,Loma Bonita,,,0399,approximate_coordinate,1665.0,415.0,5549.892227770982,1383.3064711861607,0.3108433734939759,0.4433734939759036,8.15,0.9898534385569335,193,411,96,215,25,46,3,7,7,13,0,0,2,2,B,mercadolibre|1000000.0|xochitepec|loma bonita|180.0|51.0|2.0|2.0,a3c89974ffafa616d8158d354576b67180850d00,missing_coordinates
mercadolibre,MLM-5443888926,https://terreno.mercadolibre.com.mx/MLM-5443888926-terreno-en-privada-en-el-centro-de-jiutepec-_JM,1045000.0,MXN,terreno,land,237.47,,,,,,,4400.56,1M-2M,,,18.8955305,-99.1656029,medium,Morelos,Jiutepec,Centro Jiutepec,,,1084,approximate_coordinate,2129.0,704.0,6005.284940640889,1985.7776412452727,0.5710227272727273,0.8181818181818182,12.54,0.9747211895910781,545,1899,218,865,75,232,27,74,32,49,12,16,9,29,B,mercadolibre|1045000.0|jiutepec|centro jiutepec|237.47|||,,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-4602135488,https://terreno.mercadolibre.com.mx/MLM-4602135488-terreno-en-venta-subdivisible-en-el-centro-de-jiutepec-mor-mexico-_JM,10456000.0,MXN,terreno,land,4268.0,,,,,,,2449.86,8M-12M,,,18.8955305,-99.1656029,medium,Morelos,Jiutepec,Centro Jiutepec,,,1084,approximate_coordinate,2129.0,704.0,6005.284940640889,1985.7776412452727,0.5710227272727273,0.8181818181818182,12.54,0.9747211895910781,545,1899,218,865,75,232,27,74,32,49,12,16,9,29,B,mercadolibre|10456000.0|jiutepec|centro jiutepec|4268.0|||,,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-5357305184,https://casa.mercadolibre.com.mx/MLM-5357305184-casa-en-venta-en-lomas-de-cocoyoc-_JM,10500000.0,MXN,casa,residential,450.0,380.0,4,4.0,4,,27631.58,,8M-12M,,,18.913685,-98.9455121,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,B,mercadolibre|10500000.0|atlatlahucan|lomas de cocoyoc|450.0|380.0|4.0|4.0,fb04fa3525ba4efad3fee8956c2f06914a3f7708,missing_coordinates
