scope,value,field,n,missing,missing_pct
global,,land_area_m2,155,2,1.2903225806451613
global,,construction_area_m2,155,36,23.225806451612904
global,,bedrooms,155,32,20.64516129032258
global,,bathrooms,155,34,21.935483870967744
global,,parking_spaces,155,34,21.935483870967744
global,,inegi_cve_ageb,155,0,0.0
global,,population_density,155,0,0.0
global,,housing_density,155,0,0.0
global,,car_ownership_ratio,155,0,0.0
global,,internet_access_ratio,155,0,0.0
global,,average_schooling,155,0,0.0
global,,employment_ratio,155,0,0.0
global,,establishments_500m,155,0,0.0
global,,establishments_1km,155,0,0.0
global,,retail_500m,155,0,0.0
global,,retail_1km,155,0,0.0
global,,restaurants_hotels_500m,155,0,0.0
global,,restaurants_hotels_1km,155,0,0.0
global,,health_500m,155,0,0.0
global,,health_1km,155,0,0.0
global,,education_500m,155,0,0.0
global,,education_1km,155,0,0.0
global,,financial_500m,155,0,0.0
global,,financial_1km,155,0,0.0
global,,professional_services_500m,155,0,0.0
global,,professional_services_1km,155,0,0.0
source,icasas,land_area_m2,6,0,0.0
source,icasas,construction_area_m2,6,2,33.33333333333333
source,icasas,bedrooms,6,0,0.0
source,icasas,bathrooms,6,1,16.666666666666664
source,icasas,parking_spaces,6,2,33.33333333333333
source,icasas,inegi_cve_ageb,6,0,0.0
source,icasas,population_density,6,0,0.0
source,icasas,housing_density,6,0,0.0
source,icasas,car_ownership_ratio,6,0,0.0
source,icasas,internet_access_ratio,6,0,0.0
source,icasas,average_schooling,6,0,0.0
source,icasas,employment_ratio,6,0,0.0
source,icasas,establishments_500m,6,0,0.0
source,icasas,establishments_1km,6,0,0.0
source,icasas,retail_500m,6,0,0.0
source,icasas,retail_1km,6,0,0.0
source,icasas,restaurants_hotels_500m,6,0,0.0
source,icasas,restaurants_hotels_1km,6,0,0.0
source,icasas,health_500m,6,0,0.0
source,icasas,health_1km,6,0,0.0
source,icasas,education_500m,6,0,0.0
source,icasas,education_1km,6,0,0.0
source,icasas,financial_500m,6,0,0.0
source,icasas,financial_1km,6,0,0.0
source,icasas,professional_services_500m,6,0,0.0
source,icasas,professional_services_1km,6,0,0.0
source,mercadolibre,land_area_m2,149,2,1.342281879194631
source,mercadolibre,construction_area_m2,149,34,22.818791946308725
source,mercadolibre,bedrooms,149,32,21.476510067114095
source,mercadolibre,bathrooms,149,33,22.14765100671141
source,mercadolibre,parking_spaces,149,32,21.476510067114095
source,mercadolibre,inegi_cve_ageb,149,0,0.0
source,mercadolibre,population_density,149,0,0.0
source,mercadolibre,housing_density,149,0,0.0
source,mercadolibre,car_ownership_ratio,149,0,0.0
source,mercadolibre,internet_access_ratio,149,0,0.0
source,mercadolibre,average_schooling,149,0,0.0
source,mercadolibre,employment_ratio,149,0,0.0
source,mercadolibre,establishments_500m,149,0,0.0
source,mercadolibre,establishments_1km,149,0,0.0
source,mercadolibre,retail_500m,149,0,0.0
source,mercadolibre,retail_1km,149,0,0.0
source,mercadolibre,restaurants_hotels_500m,149,0,0.0
source,mercadolibre,restaurants_hotels_1km,149,0,0.0
source,mercadolibre,health_500m,149,0,0.0
source,mercadolibre,health_1km,149,0,0.0
source,mercadolibre,education_500m,149,0,0.0
source,mercadolibre,education_1km,149,0,0.0
source,mercadolibre,financial_500m,149,0,0.0
source,mercadolibre,financial_1km,149,0,0.0
source,mercadolibre,professional_services_500m,149,0,0.0
source,mercadolibre,professional_services_1km,149,0,0.0
