property_type,municipality,metric,n,median,mean,p10,p25,p75,p90,iqr,iqr_low_threshold,iqr_high_threshold,statistical_outliers
casa,Atlatlahucan,price_per_construction_m2,13,29090.91,30579.682307692303,25937.097999999998,26279.07,34133.33,38906.984000000004,7854.260000000002,14497.679999999997,45914.72,1
casa,Ayala,price_per_construction_m2,2,18893.97,18893.97,16786.922,17577.065,20210.875,21001.018,2633.8100000000013,13626.349999999997,24161.590000000004,0
casa,Cuautla,price_per_construction_m2,10,16930.379999999997,17408.435999999998,13119.878,13870.192500000001,20937.5,21704.500999999997,7067.307499999999,3269.2312500000025,31538.46125,0
casa,Cuernavaca,price_per_construction_m2,23,22340.43,21703.898695652177,16157.514000000001,18458.645,24594.015,26298.278,6135.369999999999,9255.590000000002,33797.07,1
casa,Emiliano Zapata,price_per_construction_m2,4,22598.870000000003,22521.14,20183.486,21264.08,23855.93,24796.61,2591.8499999999985,17376.305000000004,27743.704999999998,0
casa,Jiutepec,price_per_construction_m2,4,24479.155,20422.9625,10272.893,18075.0875,26827.03,27328.078,8751.942499999997,4947.173750000005,39954.94374999999,0
casa,Temixco,price_per_construction_m2,6,18948.665,18882.868333333332,12005.494999999999,14708.875,20881.53,25694.445,6172.654999999999,5449.892500000002,30140.512499999997,0
casa,Xochitepec,price_per_construction_m2,6,17673.995,16975.916666666668,12722.224999999999,15833.3375,19376.21,20531.53,3542.8724999999995,10519.028750000001,24690.51875,1
casa,Yautepec,price_per_construction_m2,13,15000.0,16643.03769230769,9968.542,12318.84,18600.0,25600.000000000004,6281.16,2897.1000000000004,28021.739999999998,1
departamento,Atlatlahucan,price_per_construction_m2,4,22699.48,22656.93,16051.711,18952.8025,26403.6075,29228.109,7450.804999999997,7776.595000000007,37579.814999999995,0
departamento,Ayala,price_per_construction_m2,1,21590.91,21590.91,21590.91,21590.91,21590.91,21590.91,0.0,21590.91,21590.91,0
departamento,Cuautla,price_per_construction_m2,2,21693.18,21693.18,20247.724000000002,20789.77,22596.59,23138.636,1806.8199999999997,18079.54,25306.82,0
departamento,Cuernavaca,price_per_construction_m2,8,36345.03,37561.92999999999,18941.67,26407.739999999998,52799.0175,54864.515999999996,26391.277500000004,-13179.176250000011,92385.93375000001,0
departamento,Emiliano Zapata,price_per_construction_m2,3,25000.0,24301.11,16891.888,19932.43,29019.235,31430.776,9086.805,6302.2225,42649.442500000005,0
departamento,Jiutepec,price_per_construction_m2,8,19218.75,19536.512499999997,14621.508,14916.6675,20946.155,25915.388,6029.487499999999,5872.436250000001,29990.386249999996,0
departamento,Temixco,price_per_construction_m2,2,20441.04,20441.04,16659.64,18077.665,22804.415,24222.440000000002,4726.75,10987.54,29894.54,0
departamento,Xochitepec,price_per_construction_m2,2,24643.43,24643.43,24512.021999999997,24561.3,24725.559999999998,24774.838,164.2599999999984,24314.910000000003,24971.949999999997,0
departamento,Yautepec,price_per_construction_m2,7,19138.3,23478.304285714286,14282.851999999999,15769.605,28582.585,36153.49600000001,12812.98,-3449.8650000000016,47802.055,0
terreno,Atlatlahucan,price_per_land_m2,7,6249.91,6381.024285714287,5682.112,6004.155000000001,6740.1900000000005,7277.82,736.0349999999999,4900.102500000001,7844.2425,0
terreno,Ayala,price_per_land_m2,1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,0
terreno,Cuautla,price_per_land_m2,4,3841.255,3776.865,2357.447,2893.6175,4724.5025000000005,5144.771000000001,1830.8850000000007,147.2899999999986,7470.830000000002,0
terreno,Cuernavaca,price_per_land_m2,6,6146.530000000001,7283.178333333334,1703.005,2677.435,12250.0,14000.0,9572.565,-11681.4125,26608.8475,0
terreno,Emiliano Zapata,price_per_land_m2,2,3050.42,3050.42,2373.252,2627.19,3473.65,3727.588,846.46,1357.5,4743.34,0
terreno,Jiutepec,price_per_land_m2,6,2715.79,2541.4066666666668,1474.93,2495.29,3225.25,3433.5,729.96,1400.35,4320.1900000000005,1
terreno,Xochitepec,price_per_land_m2,4,640.0,645.0,402.0,555.0,730.0,892.0,175.0,292.5,992.5,1
terreno,Yautepec,price_per_land_m2,3,1131.07,1948.3333333333333,892.878,982.2,2505.835,3330.694,1523.635,-1303.2524999999998,4791.2875,0
