variable,n,residual_correlation,value,mean_residual,median_residual
actual_price,155,-0.5807931382872759,,,
land_area_m2,153,-0.09180515884484067,,,
construction_area_m2,119,-0.0023618566057747818,,,
property_type,84,,casa,-440742.78435136937,169060.72683342174
property_type,38,,departamento,-374964.4247100382,-42150.49195845716
property_type,33,,terreno,373406.8790271065,485415.3729814999
municipality,24,,Atlatlahucan,-187525.97101241784,96295.99352737155
municipality,4,,Ayala,1414033.1434327166,125721.74258453271
municipality,18,,Cuautla,363763.3765321347,85050.19983736402
municipality,39,,Cuernavaca,-465955.84219758736,79121.29413592769
municipality,9,,Emiliano Zapata,-2080877.7176511304,-2123861.8433917537
municipality,18,,Jiutepec,-3359476.059530501,-15046.591949792579
municipality,8,,Temixco,-152499.68432481884,445188.4586679407
municipality,12,,Xochitepec,2260052.9799630963,339002.0073068426
municipality,23,,Yautepec,1079054.044675795,606973.6711836578
