source_id,source,municipality,neighborhood,actual_price,predicted_price,absolute_error,percentage_error,land_area_m2,price_per_land_m2,inegi_cve_ageb,coordinate_quality,quality_flags
MLM-4602135488,mercadolibre,Jiutepec,Centro Jiutepec,10456000.0,13250123.273910366,2794123.273910366,26.722678595164172,4268.0,2449.86,1084,medium,"missing_construction_area,missing_coordinates"
MLM-5370001378,mercadolibre,Atlatlahucan,Lomas De Cocoyoc,3731662.0,4762178.944868472,1030516.9448684724,27.61549531732704,643.0,5803.52,0138,medium,"missing_construction_area,missing_coordinates"
MLM-2985878831,mercadolibre,Ayala,Ciudad Ayala,5056000.0,10827492.70247716,5771492.702477161,114.15135883064004,5056.0,1000.0,0039,medium,"missing_construction_area,missing_coordinates"
MLM-5347925596,mercadolibre,Cuernavaca,Lomas De Ahuatlan,2376582.0,2499880.3114397367,123298.31143973676,5.188052061310603,449.0,5293.06,1537,medium,"missing_construction_area,missing_coordinates"
MLM-5844946628,mercadolibre,Emiliano Zapata,Palo Escrito,26000000.0,21266211.666426793,4733788.333573207,18.206878206050796,6672.0,3896.88,0377,medium,"missing_construction_area,missing_coordinates"
MLM-3246463249,mercadolibre,Emiliano Zapata,Tezoyuca,28700000.0,21019976.256174248,7680023.743825752,26.759664612633284,13022.0,2203.96,017A,medium,"missing_construction_area,missing_coordinates"
MLM-4532041374,mercadolibre,Atlatlahucan,Lomas De Cocoyoc,4670568.0,5155983.3729815,485415.3729814999,10.393069386453636,741.0,6303.06,0138,medium,"missing_construction_area,missing_coordinates"
MLM-5064745416,mercadolibre,Jiutepec,Sumiya,50000000.0,22071128.01497863,27928871.98502137,55.85774397004274,14850.0,3367.0,0122,medium,"missing_construction_area,missing_coordinates"
MLM-5468415308,mercadolibre,Cuernavaca,Vista Hermosa,6300000.0,5806848.901808909,493151.09819109086,7.827795209382395,450.0,14000.0,0187,medium,"missing_construction_area,missing_coordinates"
MLM-2605315741,mercadolibre,Jiutepec,Tlahuapan,8190000.0,3513532.023066476,4676467.976933524,57.09973109808942,2925.0,2800.0,1065,medium,"missing_construction_area,missing_coordinates"
