feature,importance_mean,importance_std
land_area_m2,2244823.775789636,391463.86564774567
construction_area_m2,1606756.267117221,370962.76040692284
parking_spaces,241366.69161952316,70001.10153943581
car_ownership_ratio,214686.64397095126,101915.59976437698
municipality,187622.1397917468,39722.99778223488
internet_access_ratio,186504.7801417978,68916.66595710765
health_1km,140929.03890585265,93291.2570267509
bedrooms,130052.38511321286,45252.456800629065
inegi_cve_ageb,121020.8887175008,31929.102454436972
retail_500m,116881.09423228446,59184.05865367813
financial_500m,111983.42421952481,57650.96841427017
average_schooling,106258.18819146331,65638.3575963921
health_500m,62919.12466272976,29127.160143263303
education_500m,61675.06439907195,40069.00096524139
housing_density,61202.20984385551,14283.868680958545
property_type,54217.96639241908,21594.82128572099
restaurants_hotels_500m,50388.036163559635,28850.286735735295
employment_ratio,45417.540437924064,16393.507550310835
neighborhood,41492.35291912159,23533.94475952168
professional_services_1km,29590.4766467286,20503.14580992493
