feature,importance_mean,importance_std
land_area_m2,1731858.5681228493,215641.60373248073
construction_area_m2,1389893.8954253301,168481.49043024518
parking_spaces,399558.87322360097,78765.44278745643
internet_access_ratio,312368.83064141945,49538.68471932416
inegi_cve_ageb,255180.30080673602,45692.786483556956
car_ownership_ratio,235939.37489075883,155384.63880078896
bedrooms,88250.22752145272,14665.241930029306
retail_500m,84550.35881185794,21788.76609945776
health_1km,82232.58249244654,29305.3129442438
municipality,70421.78229216427,21251.641150351385
housing_density,48691.865433966304,17604.604920219288
population_density,43475.053957558695,23664.922125454257
average_schooling,41463.457350730656,13512.38309289974
restaurants_hotels_500m,23684.866607595653,10739.320229086776
market_segment,17985.843874062102,10910.555257124426
professional_services_1km,9929.354067489156,6144.053249180827
health_500m,8476.907770501317,5502.773918421179
education_500m,8061.295460134659,7287.841943359833
professional_services_500m,6380.308235815315,8350.260156931665
bathrooms,6364.7273739802185,9525.335424716015
