feature,importance_mean,importance_std
land_area_m2,9230891.056923779,2149903.334627574
health_1km,182361.69821255768,62054.12602573235
average_schooling,135316.7700890139,50301.11242578123
retail_500m,133410.99334798113,50069.116606004354
car_ownership_ratio,131755.22726465913,75135.90809652601
housing_density,92464.8408736103,64323.24020495669
professional_services_1km,75971.05134052984,17194.331673289747
education_1km,72727.92887878537,31534.325437854517
population_density,58448.847144500185,21019.924833227324
municipality,57904.95983207923,19035.655844689983
internet_access_ratio,45963.8532867268,24910.68013351383
restaurants_hotels_1km,44858.76131461691,22256.487298987304
establishments_1km,18189.299894212712,20491.752102134855
restaurants_hotels_500m,17567.801379449185,9367.734656138504
financial_1km,17393.570608121732,12966.383955645038
education_500m,17091.247541130193,10943.785942824412
health_500m,16913.710307486184,15174.063240361931
retail_1km,16197.413398572275,17606.45517181656
employment_ratio,15592.793893813436,53614.10295205228
establishments_500m,14817.59182688271,21464.507046660143
