feature,importance_mean,importance_std
construction_area_m2,0.08484303529063861,0.017026349439316066
parking_spaces,0.04675439950078726,0.011132436049434381
land_area_m2,0.04079212074478467,0.010201516784623499
municipality,0.011873149499297141,0.00788251079114981
internet_access_ratio,0.008278662463029225,0.009530332359718641
education_500m,0.0063951538875699045,0.00450581962604086
financial_500m,0.004854654148221016,0.0019119610054324835
inegi_cve_ageb,0.003621517742673556,0.0030329787193002595
establishments_1km,0.0028259315838416415,0.0006190650329509807
average_schooling,0.002719061883787314,0.0026399501103666102
bathrooms,0.00230781448384126,0.0008664511309133534
restaurants_hotels_500m,0.0020632026717066765,0.0028285733861072716
retail_1km,0.001893072761595249,0.001194336593093556
professional_services_1km,0.0010968493297696114,0.001043997071734603
restaurants_hotels_1km,0.0006476578613122305,0.0009668669470707395
population_density,0.0006276329358418782,0.0032173594050236743
education_1km,0.0004331214353442192,0.00035364232316966533
financial_1km,0.0002949513494968414,0.00014747567474842073
occupied_housing,0.0,0.0
population,0.0,0.0
