source_id,property_type,price,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,latitude,longitude,municipality,neighborhood,inegi_cve_ageb
MLM-6019979870,casa,11000000.0,220.0,220.0,2,2.0,2.0,19.386924,-99.1636016,Benito Juárez,Del Valle Centro,0416
MLM-5935992052,casa,6100000.0,176.0,207.0,3,3.0,1.0,19.4046574,-99.1302775,Cuauhtémoc,Asturias,1515
MLM-2937242271,casa,17850000.0,600.0,400.0,3,5.0,5.0,19.3470432,-99.0553574,Iztapalapa,Colonial Iztapalapa,1481
MLM-2858654399,casa,11900000.0,182.0,240.0,2,2.0,2.0,19.4092659,-99.1795821,Cuauhtémoc,Hipodromo Condesa,1411
MLM-4995493444,casa,9500000.0,336.0,286.0,3,2.0,2.0,19.3656187,-99.1899364,Benito Juárez,Merced Gómez,0882
MLM-3017449407,casa,14950000.0,213.0,213.0,3,2.0,2.0,19.4058335,-99.1633037,Cuauhtémoc,Roma Sur,145A
MLM-4995472004,casa,10400000.0,48.12,163.0,3,3.0,3.0,19.386924,-99.1636016,Benito Juárez,Del Valle Centro,0416
MLM-3279331027,casa,1499000.0,100.0,58.0,3,3.0,1.0,19.3691702,-99.0282389,Iztapalapa,Ejercito De Oriente,0604
MLM-2841387303,casa,11200000.0,195.0,400.0,4,2.0,2.0,19.3760816,-99.1550215,Benito Juárez,Letran Valle,0628
MLM-5716290028,casa,15300000.0,107.0,193.0,2,4.0,4.0,19.4148639,-99.176429,Cuauhtémoc,Condesa,1322
MLM-4694034888,casa,13600000.0,175.0,210.0,3,2.0,2.0,19.386924,-99.1636016,Benito Juárez,Del Valle Centro,0416
MLM-5438042870,casa,6800000.0,163.0,204.0,4,2.0,2.0,19.3825107,-99.1419109,Benito Juárez,Américas Unidas,0492
MLM-5912998242,casa,14900000.0,170.0,170.0,2,2.0,2.0,19.4148639,-99.176429,Cuauhtémoc,Condesa,1322
MLM-3229325747,casa,6700000.0,125.0,250.0,3,2.0,2.0,19.3652724,-99.123584,Iztapalapa,Unidad Modelo,2526
MLM-4761872760,casa,13300000.0,86.64,287.0,3,2.0,2.0,19.3942366,-99.1670335,Benito Juárez,Colonia Del Valle,0045
MLM-5476223506,casa,13600000.0,108.0,263.0,3,4.0,4.0,19.3819919,-99.1536795,Benito Juárez,Vértiz Narvarte,044A
MLM-5389863268,casa,12000000.0,204.0,189.0,4,2.0,2.0,19.4058335,-99.1633037,Cuauhtémoc,Roma Sur,145A
