ENTIDAD,MUN,LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
17,000,0000,0000,000,1971520,560941,234837,307830,9.84,1017989,996215
17,001,0000,0000,000,17598,4992,1545,1919,8.52,7649,7514
17,001,0001,0000,000,5575,1629,627,811,9.71,2693,2646
17,001,0001,0060,000,1415,419,134,177,9.14,693,686
17,001,0001,0075,000,639,172,88,109,10.51,324,319
17,001,0001,008A,000,758,200,66,48,7.93,339,329
17,001,0001,0107,000,1184,346,136,203,9.93,539,529
17,001,0001,0111,000,1570,489,201,271,10.49,794,779
17,001,0001,0164,000,9,3,*,3,13.25,4,4
17,001,0008,0000,000,2955,862,270,360,8.85,1111,1088
17,001,0008,0145,000,1456,425,155,212,9.38,569,551
17,001,0008,015A,000,1499,437,115,148,8.33,542,537
17,002,0000,0000,000,25232,7060,3019,2882,9.34,12052,11860
17,002,0001,0000,000,9018,2402,783,1086,9.34,4550,4460
17,002,0001,0049,000,1001,267,86,108,9.14,502,493
17,002,0001,0072,000,2359,639,175,269,8.95,1139,1117
17,002,0001,0087,000,3139,817,298,425,9.78,1690,1664
17,002,0001,0091,000,2426,657,218,277,9.21,1172,1142
17,002,0001,0161,000,51,11,3,4,9.33,25,22
17,002,0001,0176,000,42,11,3,3,8.61,22,22
17,002,0033,0000,000,2506,959,895,907,14.26,1033,1012
17,002,0033,0138,000,973,397,367,374,14.18,401,390
17,002,0033,0142,000,683,244,229,230,14.09,258,253
17,002,0033,0157,000,588,226,211,214,14.42,265,261
17,002,0033,0180,000,184,61,59,60,14.61,76,75
17,002,0033,0195,000,31,11,11,11,15.38,13,13
17,002,0033,0208,000,47,20,18,18,14.66,20,20
17,003,0000,0000,000,39174,9978,3071,3304,8.07,19038,18844
17,003,0001,0000,000,19085,4879,1395,1968,8.62,9167,9069
17,003,0001,007A,000,1702,445,137,204,8.68,864,855
17,003,0001,0084,000,291,72,21,17,8.05,130,128
17,003,0001,0099,000,593,157,33,53,8.52,236,236
17,003,0001,0101,000,834,208,49,71,7.67,404,398
17,003,0001,0116,000,1318,341,118,98,7.61,616,605
17,003,0001,0120,000,970,224,60,60,8.05,467,464
17,003,0001,0135,000,2181,528,125,179,7.88,976,969
17,003,0001,0169,000,3493,908,259,397,9.1,1645,1634
17,003,0001,0173,000,2676,714,185,311,8.82,1306,1300
17,003,0001,0205,000,2611,678,213,330,9.1,1321,1309
17,003,0001,021A,000,2108,536,172,228,9.01,1075,1047
17,003,0001,0224,000,64,15,7,7,8.41,29,28
17,003,0001,0239,000,68,15,5,4,8.38,26,25
17,003,0001,0258,000,176,38,11,9,8.49,72,71
17,003,0003,0000,000,3818,945,267,229,6.61,1942,1933
17,003,0003,0154,000,3670,904,253,224,6.64,1873,1864
17,003,0003,0243,000,148,41,14,5,6.04,69,69
17,003,0010,0000,000,5534,1323,242,207,6.86,2519,2480
17,003,0010,0188,000,2749,670,122,103,6.95,1315,1302
17,003,0010,0192,000,2785,653,120,104,6.77,1204,1178
17,004,0000,0000,000,89834,25051,8334,9905,8.69,44704,44035
17,004,0001,0000,000,6335,1813,666,854,9.92,3245,3197
17,004,0001,0039,000,2879,820,361,459,10.83,1474,1444
17,004,0001,0128,000,1238,358,108,158,8.9,629,626
17,004,0001,0202,000,877,238,70,100,9.25,437,430
17,004,0001,033A,000,1089,324,105,118,9.63,577,571
17,004,0001,0359,000,136,40,12,9,7.08,63,63
17,004,0001,0503,000,116,33,10,10,8.21,65,63
17,004,0004,0000,000,11227,3128,947,1262,8.96,5663,5577
17,004,0004,0024,000,3279,930,365,514,10.21,1746,1721
17,004,0004,0113,000,1827,512,169,215,9.02,900,877
17,004,0004,019A,000,1085,287,89,114,8.45,543,540
17,004,0004,0363,000,170,52,15,20,8.68,102,101
17,004,0004,0452,000,1072,297,80,106,8.35,545,539
17,004,0004,0467,000,996,284,70,87,8.1,509,505
17,004,0004,0471,000,420,113,16,23,7.99,194,190
17,004,0004,0486,000,378,85,15,18,7.71,174,170
17,004,0004,0490,000,118,35,9,6,6.64,58,58
17,004,0004,0518,000,516,151,28,42,8.04,233,226
17,004,0004,0522,000,1279,351,82,108,8.43,611,602
17,004,0004,0560,000,87,31,9,9,7.97,48,48
17,004,0004,058A,000,0,*,0,0,0.00,0,0
17,004,0005,0000,000,13032,3744,1125,1734,9.02,6544,6411
17,004,0005,0077,000,6148,1804,522,832,9.29,3043,2982
17,004,0005,0221,000,1197,355,126,183,9.45,618,593
17,004,0005,0236,000,1623,465,159,285,9.17,811,795
17,004,0005,0289,000,2472,699,211,274,8.79,1242,1226
17,004,0005,0293,000,1472,385,97,152,7.59,759,746
17,004,0005,0306,000,120,36,10,8,9.63,71,69
17,004,0008,0000,000,3149,908,282,344,7.86,1573,1559
17,004,0008,0433,000,2029,556,169,204,7.96,906,893
17,004,0008,0448,000,1120,352,113,140,7.68,667,666
17,004,0011,0000,000,2878,729,239,140,7.49,1402,1393
17,004,0011,0166,000,2878,729,239,140,7.49,1402,1393
17,004,0012,0000,000,4026,1024,348,374,7.9,1902,1857
17,004,0012,0378,000,1870,471,152,156,7.59,840,816
17,004,0012,0382,000,2156,553,196,218,8.16,1062,1041
17,004,0014,0000,000,3949,1114,392,436,8.49,1956,1911
17,004,0014,0255,000,1091,301,97,96,7.95,536,522
17,004,0014,026A,000,136,39,13,15,9.4,47,47
17,004,0014,0397,000,1392,391,126,148,8.3,698,684
17,004,0014,040A,000,1114,316,131,157,9.11,573,561
17,004,0014,0537,000,133,39,9,5,7.19,62,57
17,004,0014,0541,000,65,23,13,13,10.42,30,30
17,004,0014,0556,000,18,5,3,*,10.17,10,10
